#key,title,length                                                                                                                                                                                                                                                                                                     
conf/iscram-med/2014,"Information Systems for Crisis Response and Management in Mediterranean Countries - First International Conference, ISCRAM-med 2014, Toulouse, France, October 15-17, 2014. Proceedings",183                                                                                                    
conf/multitemp/2017,"9th International Workshop on the Analysis of Multitemporal Remote Sensing Images, MultiTemp 2017, Brugge, Belgium, June 27-29, 2017",132                                                                                                                                                        
conf/sigcomm/2017kbnets,"Proceedings of the Workshop on Kernel-Bypass Networks, KBNets@SIGCOMM 2017, Los Angeles, CA, USA, August 21, 2017",113                                                                                                                                                                       
conf/det/2009,"Proceedings of the 6th CIRP-Sponsored International Conference on Digital Enterprise Technology, DET 2009, Hong Kong, China, December 14.16, 2009",145                                                                                                                                                 
conf/deec/2006,"Data Engineering Issues in E-Commerce and Services, Second International Workshop, DEECS 2006, San Francisco, CA, USA, June 26, 2006, Proceedings",145                                                                                                                                                
conf/aistats/2005,"Proceedings of the Tenth International Workshop on Artificial Intelligence and Statistics, AISTATS 2005, Bridgetown, Barbados, January 6-8, 2005",144                                                                                                                                              
conf/sbrn/1997,"4th Brazilian Symposium on Neural Networks, SBRN 1997, Campos do Jordao, Brazil, December 3-5, 1997",99                                                                                                                                                                                               
conf/wecwis/2006,"Eighth IEEE International Conference on E-Commerce Technology (CEC 2006) / Third IEEE International Conference on Enterprise Computing, E-Commerce and E-Services (EEE 2006) and Workshops, 26-29 June 2006, Palo Alto, California",226                                                             
conf/ict-dm/2017,"4th International Conference on Information and Communication Technologies for Disaster Management, ICT-DM 2017, Münster, Germany, December 11-13, 2017",151                                                                                                                                        
conf/mm/2016mmhealth,"Proceedings of the 2016 ACM Workshop on Multimedia for Personal Health and Health Care, MMHealth 2016, Amsterdam, The Netherlands, October 16, 2016",147                                                                                                                                        
conf/geoinformatics/2014,"22nd International Conference on Geoinformatics, Geoinformatics 2014, Kaohsiung, Taiwan, June 25-27, 2014",105                                                                                                                                                                              
conf/aucc/2016,"Australian Control Conference, AuCC 2016, Newcastle, Australia, November 3-4, 2016",82                                                                                                                                                                                                                
conf/scie/1997,"Information Extraction: A Multidisciplinary Approach to an Emerging Information Technology, International Summer School, SCIE-97, Frascati, Italy, 14-18, 1997",158                                                                                                                                   
conf/latin/2014,"LATIN 2014: Theoretical Informatics - 11th Latin American Symposium, Montevideo, Uruguay, March 31 - April 4, 2014. Proceedings",127                                                                                                                                                                 
conf/icalp/2014-2,"Automata, Languages, and Programming - 41st International Colloquium, ICALP 2014, Copenhagen, Denmark, July 8-11, 2014, Proceedings, Part II",140                                                                                                                                                  
conf/random/1997,"Randomization and Approximation Techniques in Computer Science, International Workshop, RANDOM'97, Bologna, Italy, July 11-12. 1997, Proceedings",145                                                                                                                                               
conf/words/1999f,"Fifth International Workshop on Object-Oriented Real-Time Dependable Systems, WORDS Fall 1999, November 18-10, 1999, Monterey, California, USA. Proceedings",155                                                                                                                                    
conf/smap/2008,"Third International Workshop on Semantic Media Adaptation and Personalization, SMAP 2008, Prague, Czech Republic, December 15-16, 2008",134                                                                                                                                                           
conf/aiide/2013,"Proceedings of the Ninth AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE-13, Boston, Massachusetts, USA, October 14-18, 2013",164                                                                                                                            
conf/automotiveUI/2014,"Proceedings of the 6th International Conference on Automotive User Interfaces and Interactive Vehicular Applications, Seattle, WA, USA, September 17 - 19, 2014",159                                                                                                                          
conf/swqd/2016,"Software Quality. The Future of Systems- and Software Development, 8th International Conference, SWQD 2016, Vienna, Austria, January 18-21, 2016, Proceedings",157                                                                                                                                    
conf/iptps/2008,"Proceedings of the 7th international conference on Peer-to-peer systems, IPTPS'08, Tampa, FL, USA, February 25-26, 2008",119                                                                                                                                                                         
conf/iv/2015,"19th International Conference on Information Visualisation, IV 2015, Barcelona, Spain, July 22-24, 2015",103                                                                                                                                                                                            
conf/semweb/2017dc,"Proceedings of the Doctoral Consortium at the 16th International Semantic Web Conference (ISWC 2017) co-located with 16th International Semantic Web Conference (ISWC 2017), Vienna, Austria, October 22nd, 2017.",209                                                                            
conf/dac/1998,"Proceedings of the 35th Conference on Design Automation, Moscone center, San Francico, California, USA, June 15-19, 1998.",121                                                                                                                                                                         
conf/feedback/2013,"8th International Workshop on Feedback Computing, San Jose, CA, USA, June 25, 2013",82                                                                                                                                                                                                            
